Order,Run,Label,Area_Mean,BoundingBoxArea_Mean,CentralMoment_0_0_Mean,CentralMoment_0_1_Mean,CentralMoment_0_2_Mean,CentralMoment_1_1_Mean,CentralMoment_1_2_Mean,CentralMoment_2_1_Mean,CentralMoment_2_2_Mean,Compactness_Mean,ConvexArea_Mean,Eccentricity_Mean,EquivalentDiameter_Mean,Extent_Mean,FormFactor_Mean,HuMoment_0_Mean,HuMoment_1_Mean,HuMoment_2_Mean,InertiaTensorEigenvalues_0_Mean,InertiaTensorEigenvalues_1_Mean,InertiaTensor_0_0_Mean,InertiaTensor_0_1_Mean,InertiaTensor_1_0_Mean,InertiaTensor_1_1_Mean,MajorAxisLength_Mean,MaxFeretDiameter_Mean,MaximumRadius_Mean,MeanRadius_Mean,MedianRadius_Mean,MinFeretDiameter_Mean,MinorAxisLength_Mean,NormalizedMoment_0_2_Mean,NormalizedMoment_1_1_Mean,NormalizedMoment_1_2_Mean,NormalizedMoment_2_0_Mean,NormalizedMoment_2_1_Mean,NormalizedMoment_2_2_Mean,Perimeter_Mean,Solidity_Mean,Zernike_0_0_Mean,Zernike_1_1_Mean,Zernike_2_0_Mean,Zernike_2_2_Mean,Area_Std,BoundingBoxArea_Std,CentralMoment_0_0_Std,CentralMoment_0_1_Std,CentralMoment_0_2_Std,CentralMoment_1_1_Std,CentralMoment_1_2_Std,CentralMoment_2_1_Std,CentralMoment_2_2_Std,Compactness_Std,ConvexArea_Std,Eccentricity_Std,EquivalentDiameter_Std,Extent_Std,FormFactor_Std,HuMoment_0_Std,HuMoment_1_Std,HuMoment_2_Std,InertiaTensorEigenvalues_0_Std,InertiaTensorEigenvalues_1_Std,InertiaTensor_0_0_Std,InertiaTensor_0_1_Std,InertiaTensor_1_0_Std,InertiaTensor_1_1_Std,MajorAxisLength_Std,MaxFeretDiameter_Std,MaximumRadius_Std,MeanRadius_Std,MedianRadius_Std,MinFeretDiameter_Std,MinorAxisLength_Std,NormalizedMoment_0_2_Std,NormalizedMoment_1_1_Std,NormalizedMoment_1_2_Std,NormalizedMoment_2_0_Std,NormalizedMoment_2_1_Std,NormalizedMoment_2_2_Std,Perimeter_Std,Solidity_Std,Zernike_0_0_Std,Zernike_1_1_Std,Zernike_2_0_Std,Zernike_2_2_Std,DistanceTraveled_Max,DistanceTraveled_Mean,DistanceTraveled_Std,Speed_Max,Speed_Mean,Speed_Std,Linearity_Mean,Linearity_Std,MeanderRatio_Mean,MeanderRatio_Std,FinalAge,Displacement,IntegratedDistance
1,1,1,133.5,168.2,133.5,3.1974423109204513e-15,1604.6638534418491,246.16446106480828,-570.19413660281,8.283133062193093,11938.447520122101,1.0118251071729871,138.7,0.5691381789331489,13.03633602801086,0.7943223443223443,0.989978658217628,0.16395565342931728,0.0010467048235163379,1.240644637359785e-4,13.082359829891978,8.805568383725586,12.0059413046954,-1.841328612415501,-1.841328612415501,9.881986908922162,14.46422248275895,14.270893219486409,5.829437032785835,2.460219065035516,2.141640786499874,11.062755348299891,11.867993927164976,0.08989222434559693,0.013784122301792196,-0.002793237992244212,0.07406342908372034,4.0762991350415095e-5,0.005004394195319852,41.18477631085023,0.9627080372285487,0.8229049310126964,0.057100911806144204,0.1179215019914818,0.058655622272222784,3.8078865529319543,6.142746399887703,3.8078865529319543,5.797809093824234e-14,120.20036639287213,46.879301422183744,138.88329867231323,97.62816826619479,1198.418702544149,0.04430521962801463,4.083843505544474,0.040265078599589325,0.18685165515363264,0.027630464481652704,0.04228206502880726,0.0010576818577133242,3.0857670501723174e-4,6.329437163539228e-5,0.6149089691752891,0.31474786170321045,0.5812601410060263,0.32835055951754377,0.32835055951754377,0.2113928265940498,0.3399758937895037,0.3966620700249856,0.14009473296899422,0.0658556525777261,0.10846575035548134,0.1984498359848296,0.21032853767539744,0.002168831679691094,0.002356947734323839,7.664000906889852e-4,0.002196860182762888,4.713679022828675e-4,2.058967339139556e-4,0.9463904970758383,0.019229934913247638,0.029260296878965922,0.021428925933419652,0.020510804286302888,0.007478060911288084,0.4787321232483972,0.1575205446097483,0.1437081651767977,0.1473021917687376,0.048467859879922554,0.04421789697747622,0.4224790973734902,0.269519335717249,3.047296289221264,1.3212426504599593,10,0.4066439172115756,1.4176849014877346
2,1,2,203.3,260.5,203.3,-7.105427357601003e-14,5650.165928620674,669.4527405977725,-75.80660183086543,-1170.7807329322022,46998.14523319379,1.1737285011732734,216.8,0.8150863866612847,16.08836428924619,0.7806349206349206,0.8524441724816906,0.186462928602644,0.008624794158756877,1.2800720276272216e-4,28.386735313673,9.520299770758333,27.786942404966364,-3.293158758161598,-3.293158758161598,10.12009267946497,21.31043222139217,20.183157161326896,6.138747861250137,2.699236282088253,2.29530389222443,11.814293843926983,12.340957162226953,0.13668319622911845,0.016203070448723517,-1.3653930273524955e-4,0.04977973237352552,-0.001992201005849025,0.005589004405877925,54.754624791833734,0.9379095025406676,0.6344121684624708,0.03352284792699932,0.15870078266210794,0.11667559551943726,3.1640339933558095,5.060742150229659,3.1640339933558095,1.4445760789742612e-13,199.58305342317115,67.56603399473242,342.93822083659705,280.74508840016745,2846.547719575745,0.028788721041233305,4.685675570881488,0.008079086913011886,0.1253171140503893,0.017089263249670677,0.02077794424692406,0.001851918807243864,6.609926561229167e-4,5.881650331177098e-5,0.6477352552526644,0.26110099706808293,0.6713110833190488,0.33440562574190297,0.33440562574190297,0.24652228020054007,0.24322727418883008,0.3946404850251674,0.13239123836763075,0.03154223192801119,0.1873204098133684,0.3453254035884854,0.16856469978627578,0.0027414994843010204,0.0016902802932653683,5.697810525411313e-4,9.709553947470678e-4,5.122153635478481e-4,1.9510285184534042e-4,0.8404992584732537,0.01343876275599214,0.017892332755710304,0.012454846296714658,0.008739272143179903,0.005497082622230102,0.3790401264736811,0.16840672139797477,0.12358442764858979,0.11662773122267112,0.051817452737838395,0.03802597773802763,0.42789751529034115,0.27036031714121467,2.9581005348575067,1.1778035301625578,10,0.3728337595186409,1.515660492581773
3,1,3,55.7,77.4,55.7,-1.5987211554602253e-15,268.2416916043552,113.92428716869955,20.74660699132364,-18.558628660801123,1218.1311082528089,0.9741324034732861,58.9,0.7681670982893581,8.420067310712046,0.7214506172839507,1.0285815101363784,0.17579564752343912,0.005561225771530043,7.46422476978824e-5,6.957843218627993,2.8338614892312606,4.808877948596693,-2.0434456517002704,-2.0434456517002704,4.982826759262561,10.546260818288996,9.893208920890446,3.4282418293457453,1.706841467443647,1.4142135623730951,6.13123485758706,6.730380706042544,0.0863138117600942,0.03669634778765856,9.04929875990313e-4,0.08948183576334492,-8.063731473410119e-4,0.00701393991869245,26.10365799264593,0.9465036572216928,0.7175866410880042,0.049423722010379055,0.1432910654816307,0.11121437414684841,2.057506581601462,4.6475800154489,2.057506581601462,8.879810247827635e-15,28.661711146182377,16.454271699376193,37.49633529280572,19.21436559135073,190.31368600289127,0.04600082582730321,2.8848262031225076,0.027678071944993617,0.15602394697601027,0.04207586247301989,0.04774155734683261,0.004161320255037511,0.001377263109004479,6.650763400530316e-5,0.4444678098477927,0.18699676428236842,0.40313333031079646,0.26945108568198345,0.26945108568198345,0.27780677726333936,0.33644258329731097,0.3718082654237793,0.22890551064707323,0.0366791044679228,0,0.3299143341828504,0.22050290859869154,0.0061596291237453705,0.004679685855052804,0.0015496385204464228,0.0042917652836105425,8.062498257739946e-4,7.243239181631412e-4,0.8501610291066851,0.027832749856290386,0.03488289390701642,0.025725500404539626,0.01973954858300186,0.015609726349702506,0.31111236114858115,0.17007204485958824,0.07037183694942982,0.09572688035340958,0.052329859956796385,0.021652872907516867,0.5903136499154282,0.18112357145781477,1.810620875528973,0.4430068170974142,10,0.6797487871371012,1.5306484037362942
4,1,4,215.2,388.6,215.2,1.7230661342182438e-14,7935.58376952116,3072.9077624769657,-1928.5545053538851,-947.4823029260573,126105.49867907092,1.453520908981493,236.5,0.9170575374152926,16.551582085205553,0.5542462026198439,0.6890402615257273,0.23504110640538742,0.029184174970190747,1.101426182281479e-4,43.65678601893796,6.924977731048717,36.850899955064506,-14.266176602338582,-14.266176602338582,13.730863794922167,26.42342299514257,25.687477486417986,5.203575679650194,2.463588638802786,2.23606797749979,10.018565636535968,10.524410195464814,0.1712427885484879,0.06627699650541592,-0.0028014627029774412,0.06379831785689952,-0.001382232025264239,0.012607422017503886,62.68254685319159,0.9099390759375943,0.4159448236832951,0.018654193508611132,0.15845761511878945,0.09241307266536779,5.940445175985458,16.493769867572556,5.940445175985458,2.2350753017948603e-13,518.2755987039172,233.2172422521728,621.1868902239842,608.5209947811736,15483.62465250047,0.060848641229277356,5.9675045966560525,0.005661366604157379,0.22676591873463972,0.015783989616077767,0.028053386588329933,0.00579463547414875,0.0027604811803746475,4.9770649684925215e-5,1.942995637814667,0.2634322285838553,1.6571122018368423,0.7667261723883692,0.7667261723883692,0.50313136115584,0.5881170733584593,0.9738242967057731,0.15916499528972824,0.04268752824787784,0,0.23011507969757797,0.20120121044404113,0.006295867771965223,0.002669776366701402,7.567061075288423e-4,0.001181240466791873,8.916438674166417e-4,8.311996876276696e-4,1.7509126344002188,0.0103432692742184,0.02500275497200083,0.00811342602810013,0.003315506652049408,0.00794892841178885,0.5376431441208569,0.23702329096480987,0.1289710556589548,0.16542865972949444,0.07293024337378765,0.03968340174121687,0.29595496755135786,0.3327569482447006,9.469150738797598,12.492726881094615,10,0.3100118244136774,2.1332096186832885
5,1,5,89.7,133.9,89.7,7.993605777301127e-15,1284.1173018568509,194.45599105947534,540.1162626789362,235.40921128702692,4390.516810578055,1.2599080987627638,98.9,0.863980680499711,10.682955347097987,0.6711458333333333,0.7954647716257952,0.2064859430015763,0.015253596913654185,7.76734539246545e-4,14.760111202273691,3.7373625014129086,14.29945792586938,-2.1655418801289565,-2.1655418801289565,4.1980157778172185,15.365238883084725,14.930963411420045,3.8816653826391967,1.8625076479073874,1.882842712474619,7.167487059746476,7.7270709370380155,0.1596995689693992,0.024198746644698548,0.007114316148106153,0.0467863740321771,0.003171193558893746,0.006041080203985772,37.639191898578666,0.9065385802279824,0.5119366397671136,0.06709146871930032,0.15110068021243528,0.09084781238915465,5.078276172963507,7.248754682319194,5.078276172963507,3.230170311256552e-14,104.85261137412547,43.22349243522406,131.52990724436043,105.87065405970745,875.2478574350376,0.06446276051289634,4.1486276177925525,0.012425605749865645,0.30559998301085206,0.04403627360499118,0.0382260437136034,0.0062699627495002175,0.0021974722425025434,4.174998087171643e-4,0.5389185418933756,0.30505927475526995,0.4977408021155483,0.4523391614891887,0.4523391614891887,0.3426348412015799,0.2812932477768092,0.42989870491121807,0.1905368358101744,0.07851182747609137,0.24698924871162387,0.2642762762173074,0.31653463315688485,0.0069528910487622105,0.005264687157025938,0.0017273094138397641,0.0024121630947648424,0.001641839207357797,6.775252317388746e-4,0.5155650197703837,0.01932159256314781,0.035968459077058215,0.03223887177103601,0.02068580373414824,0.009857281479342905,0.87748774263479,0.4483352972226816,0.2599216843102365,0.2699962285030123,0.13794932222236356,0.07997590286468816,0.3229481782080476,0.32223082800944924,8.953744117155232,12.451257124775992,10,0.09783380607935198,4.035017675004134
6,1,6,54.375,81.25,54.375,-1.4432899320127037e-15,334.1033556739428,113.87694043446898,-29.43502450560551,30.59002011527874,1109.9894436059471,1.0372907157552629,59.125,0.8036536827316116,8.319461555912241,0.6699652777777778,0.96513724182908045,0.18382890607447172,0.007833946342662202,1.7009558266878276e-4,7.388782907331685,2.6033882311763947,6.141049539471798,-2.093656624555246,-2.093656624555246,3.851121599036283,10.869545622222397,10.082837411129043,3.1974021545592834,1.6469953495613607,1.4142135623730951,5.924938351616192,6.451282853112657,0.11300074043721459,0.03853348475838667,-0.0013549114381091662,0.07082816563725713,0.001457533628179725,0.006888658297665992,26.61180553784104,0.9196180970728701,0.6741670233664379,0.058075296833053375,0.1385907456631213,0.11730057964620232,1.9226098333849673,3.5355339059327378,1.9226098333849673,1.2861621766498593e-14,22.956886088897413,15.272349809218019,37.489753869388196,27.990067262517062,152.78268691684832,0.037319764635305244,1.5526475085202969,0.0224107205319161,0.14720118273108349,0.02970439218201574,0.0345547832433284,0.005054679311785057,0.0015827350885678122,1.544408783809012e-4,0.3989175436434827,0.1652581662491223,0.2862205372676117,0.25750243115127625,0.25750243115127625,0.20491037366817266,0.28983637498795295,0.3142151050957935,0.17441973027205343,0.040515497473352896,0,0.26994047111263414,0.20046017903650276,0.005225384629741264,0.00465795990413963,0.0017045346719897169,0.0029019552439691395,0.0013380124246748495,6.940323460737529e-4,0.4792649694016646,0.019732478027939804,0.029981510139051572,0.03402826454964021,0.02378423118731321,0.0188333076596063,0.3815869480946445,0.2037990422757462,0.12060553295790633,0.11741136864450599,0.06270739762330652,0.03710939475627887,0.42977679719592077,0.39150435040327414,6.0902043761397655,7.746696224437157,8,0.34173218161481594,1.4265932959302234
7,1,7,54,106.66666666666667,54,2.3684757858670013e-15,280.8801296904574,-105.34763493154753,-33.232170729368725,370.700359515483,1682.1437967763115,1.3733363859763723,69.66666666666667,0.707184834384288,8.290219371755475,0.5122053872053872,0.7418740220194199,0.21480331909396647,0.007174875207570909,0.00393095435333634,7.878724832900442,3.7281147329912274,5.190482097269677,1.9690373174317624,1.9690373174317624,6.416357468621992,11.200207041478574,10.599842434521353,3,1.46686085448808,1.2761423749153968,7.866370722813626,7.670008699227499,0.09607166290483803,-0.03685762694956034,-0.0018194154140940735,0.11873165618912843,0.016831507074065978,0.01047931773238318,30.487313592375198,0.7789678675754625,0.5552823416220558,0.07257943607991925,0.12553095770691372,0.06673612818286928,2.6457513110645907,15.275252316519467,2.6457513110645907,1.9807241694135924e-14,32.52469331299786,50.925142494127265,70.22703592971769,160.76047753916308,627.9531736370091,0.23903640569762258,8.082903768654761,0.12022223130414568,0.20198335526371558,0.06641958216630663,0.11833774108572864,0.016099281968444967,0.007372880572960674,0.00198528556440152,1.331070514787205,1.0383097682114744,0.34047455137159355,1.0175117986556161,1.0175117986556161,0.9085834625279701,0.9604370524043799,0.6819168167603951,0,0.045101186840004734,0.2391463117381003,1.0868405836490094,1.1095960627413886,0.001743779874537543,0.020322976059495075,0.003317862171323897,0.014869495645634341,0.0050536878828846355,0.002759871987206437,3.3509347701308267,0.050343340947058855,0.08510127629532681,0.02841769320281241,0.021849666926218685,0.03168798260716505,0.5355844144673035,0.39079691699598584,0.20476044258599768,0.16479520445147802,0.12024520522953411,0.06300321310338391,0.7287651884486165,0.38358394908367716,1.5928236140095813,0.8383791950273826,3,0.3576029214469002,0.7815938339919717
8,3,1,165.2,205.7,165.2,1.3855583347321955e-14,1509.7836570379663,-173.1412070780033,-477.7653705235189,-1392.023044088259,22076.031185199485,1.0533760302837019,170.6,0.7365964653413368,14.503010869188431,0.8035067873303168,0.949776139084598,0.174345540426772,0.004236900521787602,2.49234379892878e-4,19.7692296987995,9.032735300927861,9.138764186677154,1.0489028105151923,1.0489028105151923,19.663200813050207,17.783913873725837,16.660233845994913,5.98309518948453,2.6041912276176946,2.23606797749979,11.092660481608343,12.021189821422245,0.05531914416902555,-0.006354550748254791,-0.001360880385113969,0.11902639625774644,-0.003967732490216266,0.004895640670748192,46.760512242138304,0.9684701909974445,0.7556133072293878,0.06702751911831634,0.11746526642000327,0.11089261696161812,1.0327955589886444,5.375872022286245,1.0327955589886444,6.487310951871418e-14,34.640404186215996,25.83537331583373,119.95992683614988,189.98919171467116,958.4772110316143,0.024303125896832135,2.503331114069145,0.012651532853339635,0.04532007711980866,0.017282851133238873,0.02155372120579946,0.001856891421131954,5.010629100264157e-4,5.141769541848772e-5,0.47229041924203663,0.19232427751191467,0.1822435514081823,0.16240693333594472,0.16240693333594472,0.4836809477634906,0.21103583869850853,0.20168235962523742,0.05345770464245005,0.02203425087918239,0,0.2930181709705053,0.12806288463957144,0.001029889582653258,0.0010198065097099256,3.316050561199826e-4,0.0028102296942069107,5.337449303082195e-4,1.7973606464312912e-4,0.608585893093505,0.010092954168620973,0.016765530889992386,0.025202170768017257,0.013886437581211959,0.006996097708606572,0.15824033806694943,0.1045974345056674,0.03387978030893155,0.04868933478983059,0.03218382600174381,0.010424547787363556,0.35310748932524955,0.2643224875827537,4.3372621493621235,3.3808979293110784,10,0.23715686392211724,0.9413769105510066
9,3,2,106.6,171.8,106.6,-1.7763568394002508e-14,2348.977713481148,234.98123999369116,-111.42286218327318,-280.11316668839464,13152.388716217421,1.8402781635723553,143.6,0.8803893273883753,11.64488597515632,0.621980949197861,0.5457372320621208,0.25691892290943535,0.026681360627972425,5.3682676020682e-4,22.316587769405402,5.018869488570587,22.016317552084598,-2.1884150566737492,-2.1884150566737492,5.319139705891391,18.892343823028224,15.654540632533713,3.6549698058132427,1.7034093297536492,1.4727922061357857,9.025314464721253,8.95067540491719,0.2071048564082347,0.020454737190726366,-0.001049674065279285,0.04981406650120065,-0.002272593815037278,0.010812969506851589,49.60376259469858,0.7428593187892234,0.5461254360148967,0.04050884566363333,0.05941294995922749,0.1497022351450879,6.834552736727628,14.987402117185695,6.834552736727628,3.8080200186180775e-14,207.79934376435273,68.66219361931894,223.82669436630084,170.04492167898908,2334.857619308694,0.12456096016550633,9.69765149118303,0.011120279201759701,0.3711335404705471,0.026370883305703,0.03851316986998897,0.012764685978587317,0.0043801369494066225,3.6564885276875773e-4,0.9434831668860416,0.515150531965546,0.9445908095799223,0.5643396227570453,0.5643396227570453,0.5706051689592236,0.40103918203394323,0.3878109280893572,0.3960860156210558,0.05700211752702492,0.1852419365337179,0.7036537086885067,0.4562182871047331,0.013200027664867695,0.004862065504368364,0.0018213085484453798,0.002914548318565708,0.0012042471736162087,0.0010635464210344673,2.3698306048627527,0.02474220380438577,0.024503792671893117,0.016156297418812783,0.021363948954451054,0.010164296162731581,0.7760722008630984,0.4024704135544972,0.22880257290280495,0.23879144641941488,0.12383705032446068,0.07040079166240153,0.2727379069374988,0.28573621715225694,6.163058967114869,3.667943192979084,10,0.2844282850664799,3.6222337219904746
10,3,3,109.1,169.1,109.1,1.1191048088221578e-14,777.609563009602,68.12510611898588,371.18941334742567,908.7594551769614,6876.403898386117,1.246771945243816,123.9,0.6597313383347739,11.783787061942723,0.6471911075036075,0.8042604641647624,0.17902799963824292,0.002721362185195448,9.37183854322893e-4,12.545130358164554,6.986741486369011,7.120189279132106,-0.6379926128360097,-0.6379926128360097,12.41168256540146,14.158916440804822,14.080475064488716,4.6304951684997055,2.045056132118026,2,10.099261002845983,10.563803089163915,0.06529105382751302,0.005983150330070045,0.002995637772171745,0.1137369458107299,0.007337936183466516,0.005297630817390247,41.33036072312181,0.8812002378488241,0.6722233331337775,0.08202943870997188,0.14235645921064918,0.06061836492969075,4.458450154232722,11.883228143526956,4.458450154232722,3.252937884468634e-14,78.51957217990014,67.43252127302267,102.7536406338751,264.5442102754582,1004.7968596500733,0.06905667215137473,6.15449248742557,0.06326825723758622,0.24220471001369456,0.03974703871663823,0.04393111099950794,0.002971470164672374,0.0011378959390054132,3.912214951578591e-4,0.9348436943070804,0.6231931341354676,0.5678037144266873,0.6278847585887151,0.6278847585887151,0.925025052475571,0.5240557147435079,0.6148368874131217,0.2549825582289529,0.035649121746103636,0,0.5158368558925565,0.46419353635586474,0.0048057131981532894,0.005874900302977629,8.289095151656513e-4,0.006380928155826938,0.0021147148275800485,7.22636200599386e-4,1.673683166757541,0.024675677694501016,0.039097248802001945,0.03537749868366117,0.020760714202464437,0.018531924648402903,0.8313070370588715,0.42146529891083717,0.2840713473306036,0.2557867806334989,0.12968163043410375,0.08740656840941646,0.33299647890877065,0.36994466932922443,7.344668857123388,6.563419209511265,10,0.3390993961182919,3.7931876901975343
11,3,4,95.5,131.8,95.5,-1.438849039914203e-14,896.3428772040791,209.9942497845976,35.69941762153512,-4.401726396798313,4456.950555681221,1.0195133300985255,101.7,0.6967116280589524,11.025846933001104,0.726462703962704,0.981822321594461,0.16906766005706136,0.002980323649930314,2.148660877775986e-5,10.667217509008527,5.477239419227002,9.383716344094996,-2.1958941064653636,-2.1958941064653636,6.7607405841405335,13.062173075681173,12.518001935856834,4.71311845071176,2.1019672141242625,2,8.670715558022984,9.359214690338325,0.09831832577882967,0.0229815255515123,3.972856070887323e-4,0.07074933427823168,-3.6771723154968535e-5,0.00509302049442125,34.970562748477136,0.9391642199437413,0.7742979815589948,0.04300495359547387,0.13014895466157103,0.09771047154388357,2.8771127502720115,7.671013260609347,2.8771127502720115,3.543276584999271e-14,57.76953238121137,28.333701911721402,83.90396559141439,64.81146696820748,576.1941068226869,0.03397142660614083,3.2676869155073254,0.022089346267144514,0.16691958222841508,0.04133591599951859,0.03209882446378185,0.0019020756327604504,5.650671809452554e-4,1.6818404285213587e-5,0.4042714353205531,0.24723335830222107,0.49239351722709407,0.26151472449519514,0.26151472449519514,0.5215672086901562,0.24746421758460252,0.332711977349402,0.3100438491575319,0.04006864079419392,0,0.2867539260289023,0.21325802782165107,0.0055260522004562974,0.002522003954236404,9.458036332312809e-4,0.004285863322205341,7.061086815218882e-4,3.304342982894712e-4,0.7810485835025407,0.012855873512254173,0.03841580002304212,0.03136322267556681,0.020011730000749475,0.009369578856007067,0.5414864742146013,0.2467008797520881,0.14479098010098398,0.16661122283526192,0.0759079630006425,0.04455107080030276,0.39843318792755616,0.2542388768368698,3.300816952818533,1.6709464877852576,10,0.5073229494178567,2.2203079177687934
12,3,6,196.4,290.8,196.4,2.522426711948356e-14,3021.1215830845663,-608.3776611511518,-235.68838350196916,-2916.0570966607343,40968.564382218756,1.261782603787982,218.1,0.5782473115642064,15.812957787750172,0.6769220705711478,0.7934389187753538,0.17016422615441623,0.001236979588681891,4.27480969837275e-4,20.11254852077692,13.310677220866102,15.375101854612211,3.0954440842470428,3.0954440842470428,18.048123887030812,17.934419085321963,17.6388771686144,6.355982887175195,2.6382428547564145,2.23606797749979,14.500742249055257,14.590735309627085,0.07826554325305965,-0.015753838250666424,-4.456266149732055e-4,0.09189868290135661,-0.005374951796782549,0.005401029207450516,55.798484809834996,0.9008280993299462,0.7946847077435676,0.05514576286621925,0.11102070887857762,0.07102619081107399,3.1692971530679235,17.119190011991417,3.1692971530679235,7.875760729622125e-14,172.41948786211603,134.84907223844212,434.3790418006119,480.87951080248405,4184.869157901976,0.04484209169526438,6.314885412877876,0.046702672792770836,0.12742138673238745,0.02943723032792886,0.028445042617814123,0.00225583570672297,4.1648159145819125e-4,9.648531309735727e-5,0.9367580871115411,0.5496793168109722,0.6719831599681846,0.6700437584995377,0.6700437584995377,0.5204923086912715,0.41818178459449445,0.54773496280759,0.0405728143256941,0.025597840173926488,0,0.3547954488546107,0.30051559075657974,0.0026031625562385734,0.0033528546291975592,7.997898021093049e-4,0.0023916319671771326,7.173165462935851e-4,4.2749873293653314e-4,1.2881721712655125,0.01354931074739462,0.03540533927748393,0.010742552587826,0.0166988118471321,0.008438251107091675,0.4090126752232522,0.2380526040372043,0.07559439712419133,0.12585005391484683,0.07324695508837055,0.023259814499751178,0.34585934738962343,0.27404035138806504,4.1052891429793075,2.011915608297619,10,0.4048197181639944,2.1424734363348383
